abaca,1.593,,
aback,2.496,,
abaft,1.769,,
abase,1.894,,
abash,1.292,,
abate,2.070,,
abbey,3.504,,
abbot,2.935,,
abeam,2.195,,
abele,1.593,,
abhor,2.406,,
abide,3.435,,
abler,1.593,,
abode,2.823,,
abort,3.665,,
about,6.559,,
above,4.689,,
abuse,4.011,,
abuzz,1.769,,
abysm,1.292,,
abyss,3.251,,
acerb,1.292,,
acorn,2.872,,
acrid,1.769,,
acryl,1.292,,
actin,3.032,,
actor,4.420,,
acute,3.471,,
adage,2.810,,
adapt,3.422,,
addax,1.292,,
added,3.985,,
adder,3.161,,
addle,2.246,,
adept,2.823,,
adieu,3.270,,
adman,1.292,,
admin,2.654,,
admit,4.772,,
admix,1.292,,
adobe,2.690,,
adopt,3.670,,
adore,3.888,,
adorn,2.246,,
adown,1.292,,
adult,4.155,,
adyta,1.292,,
aegis,2.070,,
aerie,1.593,,
affix,2.137,,
afire,2.707,,
afoot,3.016,,
afore,2.593,,
afoul,2.371,,
after,5.834,,
again,5.899,,
agama,1.292,,
agape,1.292,,
agate,1.769,,
agave,1.769,,
agent,5.011,,
aggie,3.321,,
agile,2.614,,
aging,3.412,,
aglet,1.593,,
agley,1.292,,
aglow,2.690,,
agony,3.575,,
agora,1.593,,
agree,4.810,,
ahead,5.297,,
ahold,3.780,,
aider,1.593,,
aides,2.810,,
aimer,1.894,,
aisle,3.872,,
aitch,1.292,,
alack,2.137,,
alarm,4.475,,
alary,1.292,,
album,4.010,,
alder,2.070,,
aleck,1.292,,
aleph,2.137,,
alert,4.314,,
algae,2.654,,
algal,1.292,,
algid,1.292,,
alias,3.612,,
alibi,3.922,,
alien,4.241,,
align,2.836,,
alike,4.055,,
alive,5.188,,
alkyd,1.593,,
alkyl,1.292,,
allay,2.547,,
alley,4.212,,
allot,2.246,,
allow,4.647,,
alloy,3.016,,
aloft,2.872,,
aloha,3.468,,
alone,5.489,,
along,5.262,,
aloof,2.823,,
aloud,3.270,,
alpha,3.910,,
altar,3.707,,
alter,3.681,,
amass,1.894,,
amaze,3.211,,
amber,3.968,,
ambit,1.292,,
amble,2.070,,
ambos,1.991,,
ambry,1.292,,
amend,2.883,,
amice,1.593,,
amide,1.292,,
amigo,3.707,,
amine,1.593,,
amino,2.797,,
amiss,2.883,,
amity,2.739,,
amole,1.292,,
among,4.530,,
amour,3.274,,
ample,3.265,,
amply,2.571,,
amuck,2.723,,
amuse,3.419,,
ancon,1.292,,
anent,1.292,,
angel,4.893,,
anger,4.288,,
angle,4.174,,
angry,4.770,,
angst,2.973,,
angus,3.612,,
anile,1.292,,
anima,2.333,,
anime,2.137,,
anion,1.593,,
anise,1.894,,
ankle,3.905,,
annex,2.935,,
annoy,3.402,,
annul,2.723,,
anode,2.246,,
anole,1.292,,
anomy,1.292,,
antes,1.769,,
antic,1.991,,
antsy,2.810,,
anvil,2.810,,
aorta,3.189,,
apace,1.894,,
apart,4.672,,
apery,1.292,,
aphid,1.991,,
aphis,1.894,,
apian,1.292,,
aping,1.593,,
apish,1.593,,
apnea,2.246,,
apple,4.374,,
apply,4.097,,
april,4.315,,
apron,3.429,,
aptly,2.614,,
arbor,2.894,,
arcos,1.292,,
ardor,2.195,,
areal,1.593,,
areca,1.292,,
arena,3.561,,
argil,1.292,,
argon,2.292,,
argot,1.593,,
argue,4.295,,
arise,3.474,,
armed,4.358,,
armor,3.864,,
aroid,1.292,,
aroma,3.137,,
arose,2.925,,
arras,2.292,,
array,3.329,,
arrow,3.895,,
arsis,1.292,,
arson,3.479,,
artsy,2.547,,
asana,1.769,,
ascot,2.739,,
asdic,1.292,,
ashen,2.292,,
ashes,3.994,,
aside,4.376,,
asker,1.894,,
askew,2.468,,
aspen,3.279,,
aspic,2.496,,
assai,1.593,,
assay,2.246,,
asset,3.580,,
aster,2.333,,
astir,1.593,,
atilt,1.292,,
atlas,3.016,,
atman,1.593,,
atoll,2.739,,
atomy,1.292,,
atone,2.935,,
atria,1.991,,
attar,1.593,,
attic,3.895,,
audio,3.747,,
audit,3.055,,
auger,2.371,,
aught,2.571,,
augur,1.593,,
aunty,3.016,,
aural,1.991,,
aurum,1.292,,
avail,2.935,,
avert,2.783,,
avian,1.991,,
avoid,4.385,,
await,3.552,,
awake,4.426,,
award,4.110,,
aware,4.552,,
awash,2.522,,
awful,4.802,,
awing,1.593,,
awoke,3.124,,
axial,2.195,,
axils,1.292,,
axiom,2.195,,
azoic,1.292,,
azote,1.292,,
azoth,1.292,,
azure,2.496,,
azury,1.292,,
babul,1.292,,
bacon,4.074,,
baddy,2.070,,
badge,4.183,,
badly,4.418,,
bagel,3.488,,
baggy,2.982,,
baits,2.292,,
baize,1.292,,
baked,3.826,,
baker,4.136,,
baldy,3.048,,
baler,1.593,,
balky,1.292,,
bally,2.547,,
balmy,2.769,,
balsa,2.137,,
banal,2.468,,
bandy,2.571,,
banjo,3.216,,
banns,2.195,,
bantu,2.137,,
barer,1.593,,
barge,3.591,,
baric,1.292,,
barky,1.292,,
barmy,2.292,,
baron,4.129,,
basal,2.496,,
based,4.425,,
bases,3.554,,
basic,4.192,,
basil,3.137,,
basin,3.279,,
basis,4.077,,
basso,2.137,,
baste,2.571,,
batch,3.620,,
bated,1.991,,
bathe,3.402,,
batik,2.070,,
baton,3.456,,
batty,2.848,,
bawdy,2.292,,
bayed,1.292,,
bayou,3.131,,
bazar,1.593,,
beach,4.753,,
beady,2.860,,
beaky,2.769,,
beamy,1.292,,
beano,2.371,,
beard,4.101,,
beast,4.390,,
beaux,2.137,,
bebop,2.634,,
bedew,1.292,,
bedim,1.593,,
beech,2.571,,
beefy,2.522,,
beery,2.522,,
befit,1.292,,
befog,1.292,,
begat,2.522,,
beget,2.522,,
begin,4.755,,
begum,1.292,,
begun,4.023,,
beige,3.137,,
being,5.686,,
belay,2.823,,
belch,2.872,,
belie,2.292,,
belle,3.909,,
belly,4.192,,
below,4.447,,
bench,3.986,,
bendy,2.371,,
benne,1.593,,
bento,1.292,,
beret,2.982,,
berry,3.545,,
berth,2.905,,
beryl,2.672,,
beset,2.468,,
besom,1.292,,
besot,1.292,,
betel,1.593,,
betty,4.388,,
bevel,1.991,,
bezel,1.593,,
bhang,1.292,,
bible,4.263,,
bicep,2.522,,
biddy,2.406,,
bidet,2.571,,
bifid,1.292,,
bight,2.195,,
bigot,2.797,,
bijou,3.265,,
biker,3.195,,
bilge,3.048,,
bilgy,1.292,,
bimbo,3.325,,
binge,2.973,,
bingo,4.099,,
biome,1.292,,
biota,1.292,,
biped,2.333,,
bipod,1.292,,
birch,3.195,,
birth,4.440,,
bison,2.547,,
bitch,5.227,,
biter,2.769,,
bitsy,2.955,,
bitty,3.256,,
bizzo,1.292,,
black,5.225,,
blade,4.114,,
blain,2.333,,
blame,4.769,,
bland,3.040,,
blank,3.987,,
blare,2.614,,
blase,1.593,,
blast,4.209,,
blaze,3.325,,
bleak,3.040,,
blear,1.292,,
bleat,2.137,,
bleed,4.004,,
bleep,3.429,,
blend,3.632,,
bless,4.544,,
blest,2.070,,
blimp,3.024,,
blind,4.661,,
bling,3.084,,
blink,3.705,,
bliss,3.499,,
blitz,3.105,,
bloat,2.723,,
block,4.607,,
bloke,3.670,,
blond,4.019,,
blood,5.269,,
bloom,3.742,,
blown,4.201,,
blowy,1.593,,
bluer,2.707,,
blues,4.011,,
bluff,3.794,,
blunt,3.692,,
blurb,2.438,,
blurt,2.707,,
blush,3.429,,
board,4.807,,
boast,3.032,,
bobby,4.842,,
bocce,2.333,,
bodge,1.593,,
bogey,3.399,,
boggy,2.070,,
bogie,2.707,,
bogus,3.435,,
bolus,2.836,,
boned,2.915,,
boner,3.371,,
boney,2.070,,
bongo,3.432,,
bonny,3.274,,
bonus,3.964,,
bonze,1.292,,
booby,3.406,,
boost,3.655,,
booth,4.309,,
boots,4.282,,
booty,3.789,,
booze,4.039,,
boozy,2.246,,
borax,2.070,,
bored,4.305,,
borer,1.769,,
boric,1.593,,
borne,3.016,,
boron,2.246,,
borty,1.292,,
bosky,1.292,,
bosom,3.496,,
boson,1.292,,
bossy,3.246,,
botch,2.522,,
