a,7.309,,
aardvark,2.634,,
aardwolf,1.292,,
abaca,1.593,,
aback,2.496,,
abacus,2.406,,
abaft,1.769,,
abalone,2.723,,
abandon,3.909,,
abandoned,4.124,,
abandonee,1.292,,
abandoner,1.593,,
abandonment,2.991,,
abase,1.894,,
abased,1.292,,
abasement,1.292,,
abash,1.292,,
abashed,1.292,,
abashedly,1.292,,
abashment,1.292,,
abatable,1.292,,
abate,2.070,,
abatement,1.894,,
abattoir,2.195,,
abbacy,1.292,,
abbatial,1.292,,
abbe,1.769,,
abbess,1.769,,
abbey,3.504,,
abbot,2.935,,
abbotship,1.292,,
abbreviate,1.593,,
abbreviated,2.522,,
abbreviation,2.406,,
abbreviator,1.292,,
abdicable,1.292,,
abdicant,1.292,,
abdicate,2.292,,
abdication,2.137,,
abdicative,1.292,,
abdicator,1.292,,
abdomen,3.527,,
abdominal,3.535,,
abdominally,1.292,,
abduct,2.860,,
abductee,2.614,,
abduction,3.561,,
abductor,2.571,,
abeam,2.195,,
abecedarian,1.292,,
abecedary,1.292,,
abed,2.333,,
abele,1.593,,
aberrance,1.292,,
aberrancy,1.292,,
aberrant,2.496,,
aberration,2.754,,
aberrational,1.292,,
abet,2.070,,
abetment,1.292,,
abettor,1.593,,
abeyance,1.769,,
abeyant,1.292,,
abhor,2.406,,
abhorrence,1.292,,
abhorrent,2.292,,
abhorrently,1.292,,
abhorrer,1.292,,
abhorring,1.292,,
abidance,1.292,,
abide,3.435,,
abider,1.292,,
abiding,2.707,,
abidingly,1.292,,
abidingness,1.292,,
ability,4.284,,
abiogenesis,1.292,,
abiogenetically,1.292,,
abiotic,1.292,,
abject,2.614,,
abjection,1.292,,
abjectly,1.894,,
abjectness,1.292,,
abjudicate,1.292,,
abjuration,1.292,,
abjuratory,1.292,,
abjure,1.593,,
abjurer,1.292,,
ablate,1.593,,
ablation,1.593,,
ablative,1.292,,
ablator,1.292,,
ablaut,1.292,,
ablaze,2.634,,
able,5.203,,
abler,1.593,,
ablest,1.769,,
abloom,1.894,,
ablution,1.894,,
ablutionary,1.292,,
ably,2.292,,
abnegate,1.292,,
abnegation,1.292,,
abnegator,1.292,,
abnormal,3.465,,
abnormality,2.723,,
abnormally,2.614,,
